feature-id	tissue_mean	tissue_std	tissue_rank
Sphi-45823ae	-2.035074503972039	0.6316844804850913	0.0
Clos-b4ed8ec	-1.7992671202881088	0.6058626917326972	1.0
Terr-9960b20	-1.6976099460540741	0.765142083126176	2.0
Lach-e23e6e7	-1.5843810172391266	1.1093300077997248	3.0
Marv-74e12a8	-1.5525143302316695	0.8877816893323852	4.0
Bact-7ce20dc	-1.3766147274186065	0.6748245960078154	5.0
Egge-06f4e7c	-1.349676491869524	0.5996954324936695	6.0
Marv-c55b486	-1.2229744389154618	0.40635273385501575	7.0
Ente-134d27c	-1.2187006241111933	0.5259880594989522	8.0
Rumi-d347cad	-1.2012118087308128	0.7407770854112218	9.0
Marv-f51d9f3	-1.198013680391498	0.5084970518545463	10.0
Haem-2903f2e	-1.163228355767092	0.8839855762286054	11.0
Bact-47d7490	-1.1154344035502346	0.5445727314461689	12.0
Pept-1d2b00f	-1.0990599929477318	0.5575226060214766	13.0
Sene-8edb2b3	-1.045145776226736	0.8236418768390874	14.0
Subd-330f9b7	-0.9981466286623626	0.7515782815124672	15.0
Rumi-49eca5f	-0.965350888860233	0.7748182260117213	16.0
Para-3d48874	-0.9437740970323082	0.6344590684337048	17.0
Rumi-0f06bc7	-0.8852745935292171	0.6057016499853234	18.0
Lach-11902be	-0.8473789571806242	0.6034120356136972	19.0
Fami-b3d9e1f	-0.8458017640041237	0.6416818975937348	20.0
Rumi-3efbc4a	-0.8309654063859744	0.5577843791209622	21.0
Alis-520887a	-0.8245125035865615	0.5260310926386325	22.0
Bact-87e7824	-0.8079738772203426	1.0445162435146074	23.0
Buty-da8b26f	-0.7779519640106088	0.6097979322253441	24.0
Anae-4f9106b	-0.7674018641497896	0.4111585792943466	25.0
Rumi-494e655	-0.7650033376825528	0.5451070835878027	26.0
NB1--fab1c84	-0.7645981850771841	0.915590150226867	27.0
Turi-4f904eb	-0.7589367736621333	0.9160616471473839	28.0
Anae-2ee585c	-0.736470937760579	0.574235653646277	29.0
Lach-f9c0d23	-0.7301301497393929	0.5951915774021441	30.0
Blau-400ef32	-0.7290741803233829	0.36160687748422277	31.0
Bifi-38b7580	-0.7286971766794159	0.4639692014233071	32.0
Rumi-a39d801	-0.7230060411718321	0.4930532355037299	33.0
Rumi-75a7dd0	-0.7070170888197238	0.8633725578781617	34.0
Rumi-f7d40e3	-0.7016826696827893	0.49768964889353673	35.0
Blau-8f6e2a9	-0.6613244716617396	0.3930150726977877	36.0
Hold-ad52bbe	-0.6611573707636029	0.8862565646642108	37.0
Fami-b0553a7	-0.6412864952042776	0.43344301992187684	38.0
Chri-fb2e43a	-0.6198982205359184	0.5942090576885647	39.0
Lach-088877a	-0.6147480866009191	0.4694426839186785	40.0
Prev-6b6d13f	-0.6115528793523951	0.8697292682637124	41.0
Epul-3fc4e1b	-0.6115431282556717	0.8065803058853759	42.0
Hold-5637d39	-0.6016776106500876	0.6908630285009486	43.0
Bact-b74ab69	-0.5980266501194565	0.730773034291628	44.0
Desu-fa6956a	-0.5731077194194871	0.43091436754607304	45.0
Solo-114d0ae	-0.5703517640131253	0.420488979632661	46.0
Turi-c96cf26	-0.5690540702616199	0.6028064695836302	47.0
