feature-id	tissue_mean	tissue_std	tissue_rank
Clos-b4ed8ec	-1.7992671202881088	0.6058626917326972	0.0
Lach-e23e6e7	-1.5843810172391266	1.1093300077997248	1.0
Bact-7ce20dc	-1.3766147274186065	0.6748245960078154	2.0
Marv-c55b486	-1.2229744389154618	0.40635273385501575	3.0
Bact-47d7490	-1.1154344035502346	0.5445727314461689	4.0
Pept-1d2b00f	-1.0990599929477318	0.5575226060214766	5.0
Para-3d48874	-0.9437740970323082	0.6344590684337048	6.0
Rumi-0f06bc7	-0.8852745935292171	0.6057016499853234	7.0
Lach-11902be	-0.8473789571806242	0.6034120356136972	8.0
Rumi-3efbc4a	-0.8309654063859744	0.5577843791209622	9.0
Alis-520887a	-0.8245125035865615	0.5260310926386325	10.0
Bact-87e7824	-0.8079738772203426	1.0445162435146074	11.0
Buty-da8b26f	-0.7779519640106088	0.6097979322253441	12.0
Anae-4f9106b	-0.7674018641497896	0.4111585792943466	13.0
Rumi-494e655	-0.7650033376825528	0.5451070835878027	14.0
Anae-2ee585c	-0.736470937760579	0.574235653646277	15.0
Blau-400ef32	-0.7290741803233829	0.36160687748422277	16.0
Bifi-38b7580	-0.7286971766794159	0.4639692014233071	17.0
Rumi-a39d801	-0.7230060411718321	0.4930532355037299	18.0
Rumi-75a7dd0	-0.7070170888197238	0.8633725578781617	19.0
Rumi-f7d40e3	-0.7016826696827893	0.49768964889353673	20.0
Blau-8f6e2a9	-0.6613244716617396	0.3930150726977877	21.0
Hold-ad52bbe	-0.6611573707636029	0.8862565646642108	22.0
Chri-fb2e43a	-0.6198982205359184	0.5942090576885647	23.0
Lach-088877a	-0.6147480866009191	0.4694426839186785	24.0
Hold-5637d39	-0.6016776106500876	0.6908630285009486	25.0
Bact-b74ab69	-0.5980266501194565	0.730773034291628	26.0
Desu-fa6956a	-0.5731077194194871	0.43091436754607304	27.0
Solo-114d0ae	-0.5703517640131253	0.420488979632661	28.0
Turi-c96cf26	-0.5690540702616199	0.6028064695836302	29.0
Subd-49ccd7a	-0.5557403907348354	0.3611450536826808	30.0
Lach-3534b4b	-0.5453935865594933	0.3702530382750963	31.0
Bact-d4d386b	-0.5403241977841605	0.48640851308795396	32.0
Bact-208134d	-0.5341675834987348	0.7510659892388388	33.0
Lach-3a2e845	-0.5332780626366065	0.4416031985257574	34.0
Rose-a76bceb	-0.5321213804076028	0.3418204310622276	35.0
Meth-26639d9	-0.5298112011112398	0.8119085615638526	36.0
Lach-05d757d	-0.5246022923107424	0.42408020514970607	37.0
Stre-a4cd615	-0.5109635191564497	0.5316246478498317	38.0
Blau-af2150f	-0.5080819209622393	0.31574715839348605	39.0
Blau-105344b	-0.49639634316548	0.4848869021057754	40.0
Anae-1e00db7	-0.48211003833003674	0.5661772066477632	41.0
Chri-f7035cb	-0.47292246219429457	0.5449890260872429	42.0
Lach-701a3b7	-0.46662715305054736	0.3141268848732189	43.0
Bact-5859c64	-0.45248383443338963	0.6426889322493968	44.0
Romb-df3d611	-0.41058809900251597	0.5966602824740856	45.0
Rumi-3fd0c1a	-0.40615515010265374	0.4405664634068191	46.0
Lach-44a2dbc	-0.40395262025559714	0.6784936859337849	47.0
Inte-9eaff8c	-0.39751297045201067	0.6408504040519678	48.0
Rumi-9cdb9db	-0.37282379703977986	0.3428752624160201	49.0
Para-4d6fe68	-0.3670395109012858	0.3363533406046385	50.0
Haem-18eb929	-0.355864926621036	0.4808660579795445	51.0
Rumi-6593120	-0.34532554732526516	0.7349712466504689	52.0
Esch-e2f6a53	-0.3225511906337649	0.9722178863397559	53.0
Lach-7079408	-0.3187548557652525	0.45245527325853263	54.0
Rose-d3864fc	-0.30579937192385676	0.4906236271069627	55.0
Sene-781430c	-0.3054090756788114	0.6016097078820258	56.0
