feature-id	tissue_mean	tissue_std	tissue_rank	survival_mean	survival_std	survival_rank	inter_mean	inter_std	inter_rank
Odor-a43ac19	-0.29645284884757683	0.49230767407507986	95.0	-2.447279548713008	5.331553581631887	60.0	0.3992429417609476	0.7810331841835753	235.0
Bact-7440aa8	0.34782274056951507	0.49460802961235106	247.0	0.38169963288114056	1.7854672331416852	181.0	0.40389981176323697	0.7370625916572733	236.0
Bact-d4d386b	-0.13129964708924194	0.5372967120795114	127.0	-0.25652197737586585	1.9570958011369044	156.0	0.4148437680764125	1.0557812857418252	237.0
Sphi-45823ae	-2.644088508396765	1.6678818836734812	2.0	2.344073606302728	3.0748269671997868	268.0	0.42599782839405637	1.9771967511163175	238.0
Rumi-bf37c87	0.03418146832282961	0.4891751915075808	171.0	-5.1912693297866825	4.425435616600045	13.0	0.4317321558381206	0.7829845405478153	239.0
Alis-ca60f95	-0.17450925504671153	0.6645867747850063	115.0	-0.9406639180495086	2.423859449909989	122.0	0.4348128809441868	0.8416115510369437	240.0
Bact-b6635d6	-0.07587833910798918	0.5738298047183468	141.0	-1.1944099272461548	3.1967079935104112	111.0	0.4354632863454985	0.7832874103435568	241.0
Bact-4abaa48	-0.26307279133335704	0.3581485910805568	101.0	4.5814003610702745	3.444721039893856	324.0	0.45393685304832015	0.6758413488893728	242.0
Rumi-02bf150	-0.2907586152856861	1.5309912510005805	96.0	7.209976415529888	4.298163823547641	337.0	0.47408675736978334	1.9327419996828303	243.0
Bact-0701752	-0.12458715758720086	0.5010262042535127	129.0	-1.1405106927284667	4.473392549807388	113.0	0.4757155108115063	0.8807128135452023	244.0
Chri-d6d70ee	-0.30773796901203015	0.47459923843495544	91.0	-4.725776387508128	3.7307735721686033	17.0	0.4835463689427532	0.761091052953265	245.0
Rumi-1f2dda5	-0.3261030045679703	0.711127918556223	87.0	-3.022457361570609	3.3442245874511483	48.0	0.49851404884663186	0.9567639770419276	246.0
Lach-9a4c969	-0.36140317911335446	0.46783090375995867	75.0	4.9592974882738305	3.4411767449230743	330.0	0.5045826820543975	0.9584236080062343	247.0
Sutt-33f8450	0.327135895421312	0.1323944763545957	240.0	1.773338075343632	0.5302570819534769	248.0	0.5498426780179289	0.16672935920503917	248.0
Fami-b0553a7	-0.8553333308050914	0.5903078441551157	33.0	-6.832839807412691	2.676592471146151	3.0	0.5540284190283551	0.911172180646301	249.0
Bact-6251bd9	-0.09711949078629355	0.4698711190617358	137.0	-0.8460687674011779	3.2080447121301603	125.0	0.5544025697574041	0.6518812664349939	250.0
Clos-8878a04	-0.30518275443550363	1.0229549060096057	92.0	3.4726781002620655	4.274908224542041	295.0	0.5582283431426787	1.5507232907670598	251.0
Geme-089a1f1	0.14134972223766845	0.7279545661358522	197.0	-2.370453402352877	2.6605431953635827	64.0	0.5600231824738159	1.3149772237574346	252.0
Rumi-18efcaa	0.18655644778721225	0.12237043537234751	207.0	1.5246373517059864	0.6312609261171551	231.0	0.5626754664806077	0.23254254773326932	253.0
Lach-724cbad	0.11023078435227258	0.9270392570678483	189.0	2.724561804676775	4.109596094439062	277.0	0.5771503700376536	1.0561591236092502	254.0
Rose-d8af28a	-0.13867729553364783	0.6633496382907929	125.0	0.17668435197263063	3.3501792750822936	171.0	0.5788489744658826	1.6234038970632976	255.0
Rumi-4df8473	-0.12175835771533411	0.6878478743252664	131.0	-1.4761815355935228	3.6590897030004763	101.0	0.5950254803293169	0.821834216643561	256.0
Rumi-34f6a9f	-0.08371478941698347	0.6323234165687336	139.0	-0.11821361129259635	4.835141513152258	161.0	0.5958090813734769	0.7453764827834953	257.0
Rumi-f7a2b0a	-0.47583852144349476	1.128328974830164	60.0	-3.168213575426481	1.3604207079999353	44.0	0.5967850191663591	1.6523453624369433	258.0
Buty-da8b26f	-0.9568211413150478	0.5690282844381562	30.0	-2.4297810969114098	3.925896015692336	61.0	0.6036002327047484	0.6751799621758793	259.0
Copr-efb5d35	-0.44325763105147487	0.8389992590189935	62.0	1.0818555497214426	3.732476749507375	211.0	0.607578286385173	1.25252026807204	260.0
Stre-fb3a183	0.5354844341334957	1.3080356125551609	281.0	1.0903414708511727	2.704277173582897	212.0	0.614648114960549	1.6487757507673078	261.0
Stre-a4cd615	-1.0777719289274559	1.7618771322896134	26.0	0.5586432221866476	1.9756323350105973	195.0	0.6186651334102102	1.771625205988657	262.0
Rumi-6e70787	-0.3031615180838609	0.9313831629290426	93.0	-2.698398262346812	3.3775088474154003	53.0	0.6217132897373986	1.4109496337520044	263.0
Chri-ac07428	0.26456216378570835	1.0040168607174496	230.0	-2.376472990462239	3.878958433127613	63.0	0.6299759536008941	1.2212525342291145	264.0
Rumi-3aef8bb	-0.6109824948567691	0.5588956641529504	47.0	2.409011105177469	3.356972531417084	271.0	0.6710311694585996	0.8795447011572691	265.0
Rumi-8dc9986	-0.838534388310507	1.4947883510299704	34.0	-0.34074439232817405	1.8237850616385238	152.0	0.6828861421144001	1.7717904554212933	266.0
Copr-c287da8	0.20767107568741722	0.09910460281928837	219.0	0.8189650637992204	0.4459318455161245	202.0	0.695397527538494	0.1553857365222213	267.0
Blau-286b444	0.1777049824107135	0.09827301920224908	205.0	1.7147840731297874	0.41808305400370993	242.0	0.7175720920924489	0.1439167160667055	268.0
Bact-572be56	-0.19925032504865964	0.5936354356600246	108.0	-1.3254099446428662	2.247732688959087	104.0	0.7222930487846477	0.8324178470704577	269.0
Pseu-052ba7a	0.38257120160953845	0.4647927064945415	254.0	1.7211510625237778	5.025247259488022	243.0	0.738634937395734	0.7644992059492108	270.0
Copr-ed7747f	-0.025874832823482075	0.12380603384518828	159.0	0.29605070439945175	0.3434926154336526	178.0	0.7441079042752025	0.1938753969779425	271.0
Lach-b978450	-0.3311824182511779	0.5088980242892314	84.0	6.354882147467099	1.3046531448230294	336.0	0.7526524346666785	0.793080266897411	272.0
Lach-d4848cd	0.07273346334937873	0.10852775057678854	179.0	1.7574088800744276	0.505103986299189	246.0	0.7534949040704662	0.1442229635942939	273.0
Lach-e412a7b	0.186908770619299	0.7348283484088256	208.0	0.4288816686266067	3.4752289560627894	185.0	0.754187292420989	1.141690786391608	274.0
Lach-bb35a35	-0.4566052810985893	0.5120383604981645	61.0	2.0281525613528673	2.413503994808126	260.0	0.7645955067280776	0.5584023525849181	275.0
